iter	Passed	Remaining
590	5812	4022
591	5820	4011
592	5828	4000
593	5836	3989
594	5844	3978
595	5852	3966
596	5860	3955
597	5868	3945
598	5876	3934
599	5884	3923
600	5892	3912
601	5901	3901
602	5909	3890
603	5917	3879
604	5925	3868
605	5933	3857
606	5942	3847
607	5950	3836
608	5958	3825
609	5967	3815
610	5975	3804
611	5984	3793
612	5992	3783
613	6000	3772
614	6008	3761
615	6015	3750
616	6024	3739
617	6032	3728
618	6041	3718
619	6050	3708
620	6060	3698
621	6069	3688
622	6079	3678
623	6087	3667
624	6096	3658
625	6105	3647
626	6114	3637
627	6123	3627
628	6131	3616
629	6139	3605
630	6147	3594
631	6156	3584
632	6163	3573
633	6172	3563
634	6179	3552
635	6188	3541
636	6196	3530
637	6204	3520
638	6212	3509
639	6220	3499
640	6228	3488
641	6237	3478
642	6245	3467
643	6253	3457
644	6261	3446
645	6270	3436
646	6278	3425
647	6285	3414
648	6293	3403
649	6301	3393
650	6309	3382
651	6317	3371
652	6326	3361
653	6335	3351
654	6342	3340
655	6351	3330
656	6360	3320
657	6368	3310
658	6376	3299
659	6384	3289
660	6392	3278
661	6400	3267
662	6408	3257
663	6416	3246
664	6424	3236
665	6432	3225
666	6440	3215
667	6448	3204
668	6456	3194
669	6464	3184
670	6472	3173
671	6481	3163
672	6488	3152
673	6497	3142
674	6505	3132
675	6514	3122
676	6521	3111
677	6530	3101
678	6538	3091
679	6546	3080
680	6554	3070
681	6562	3060
682	6570	3049
683	6578	3039
684	6586	3028
685	6594	3018
686	6603	3008
687	6612	2998
688	6620	2988
689	6629	2978
690	6636	2967
691	6645	2957
692	6652	2947
693	6662	2937
694	6669	2927
695	6678	2916
696	6685	2906
697	6694	2896
698	6702	2886
699	6710	2875
700	6718	2865
701	6727	2855
702	6735	2845
703	6743	2835
704	6751	2825
705	6759	2815
706	6767	2804
707	6775	2794
708	6784	2784
709	6793	2774
710	6801	2764
711	6809	2754
712	6817	2744
713	6825	2734
714	6833	2723
715	6841	2713
716	6849	2703
717	6857	2693
718	6866	2683
719	6875	2673
720	6882	2663
721	6892	2653
722	6900	2643
723	6909	2633
724	6916	2623
725	6925	2613
726	6933	2603
727	6942	2593
728	6949	2583
729	6958	2573
730	6966	2563
731	6975	2553
732	6985	2544
733	6994	2534
734	7003	2525
735	7011	2515
736	7020	2505
737	7028	2495
738	7037	2485
739	7045	2475
740	7053	2465
741	7061	2455
742	7069	2445
743	7077	2435
744	7085	2425
745	7093	2415
746	7101	2405
747	7109	2395
748	7118	2385
749	7126	2375
750	7135	2365
751	7142	2355
752	7150	2345
753	7158	2335
754	7166	2325
755	7173	2315
756	7181	2305
757	7189	2295
758	7197	2285
759	7205	2275
760	7213	2265
761	7221	2255
762	7230	2245
763	7238	2235
764	7246	2225
765	7254	2216
766	7262	2206
767	7271	2196
768	7280	2187
769	7289	2177
770	7299	2167
771	7308	2158
772	7318	2149
773	7326	2139
774	7336	2129
775	7346	2120
776	7354	2110
777	7363	2101
778	7371	2091
779	7379	2081
780	7387	2071
781	7395	2061
782	7404	2051
783	7412	2042
784	7420	2032
785	7428	2022
786	7436	2012
787	7445	2003
788	7453	1993
789	7463	1983
790	7470	1973
791	7479	1964
792	7486	1954
793	7494	1944
794	7502	1934
795	7511	1925
796	7519	1915
797	7527	1905
798	7535	1895
799	7543	1885
800	7551	1876
